,skill_consistency,skill_audacity,skill_unpredictability,skill_clutch,skill_chase_iq,skill_pace_killer,skill_spin_killer,skill_hard_hitting
AP Majumdar,0.0,0.14285714285714285,1.8203720904968714,0.0,100.0,106.25,116.66666666666667,6.233766233766234
AP Tare,0.7632675281345582,0.23859649122807017,1.8701157040365104,161.9047619047619,129.0909090909091,119.90521327014218,101.81818181818181,9.473684210526317
AR Bawne,0.0,0.08333333333333333,1.6258145836939115,100.0,0.0,125.0,50.0,0.0
AR Patel,0.8589764550693223,0.21255876427132303,1.8677585973081847,149.52561669829223,132.53182461103253,126.33540372670808,129.80599647266314,9.805238415043654
AS Joseph,0.654775327262907,0.09375,1.5997301466508205,72.72727272727273,84.61538461538461,83.87096774193549,100.0,0.0
AS Rajpoot,0.851967704352146,0.08536585365853659,1.3672777727330283,71.42857142857143,76.0,51.515151515151516,112.5,4.390243902439024
AS Raut,0.745370389678438,0.1511627906976744,1.8487846275841113,132.0987654320988,117.34693877551021,130.0970873786408,90.9090909090909,7.093023255813953
AS Roy,0.5288075406323666,0.16,1.7813152774012364,129.41176470588235,57.14285714285714,76.47058823529412,80.0,0.0
AS Yadav,0.9319882929174507,0.225,1.8525779239815465,130.0,75.0,144.0,86.66666666666667,10.0
AT Carey,0.0,0.05172413793103448,1.6575415498471102,110.71428571428572,57.14285714285714,107.14285714285714,200.0,2.0689655172413794
AT Rayudu,0.8809731674708872,0.2183381088825215,1.8374200584218499,163.92523364485982,120.20753686510103,130.08948545861298,118.09324982602645,9.07163323782235
AU Rashid,0.0,0.20588235294117646,1.96981578242681,133.33333333333331,128.57142857142858,140.0,125.0,10.588235294117649
AUK Pathan,0.6760319280373966,0.38461538461538464,1.8670744533177561,116.66666666666667,194.73684210526315,159.0909090909091,100.0,15.384615384615385
Abdul Basith,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0
Abdul Samad,0.8717969678309269,0.4288537549407115,1.957682272802281,170.83333333333331,136.1788617886179,162.3456790123457,113.99999999999999,13.438735177865613
Abdur Razzak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abhishek Sharma,0.8042933142239971,0.4245929734361611,2.0293933271872633,155.29411764705884,160.702875399361,146.64914586070958,180.2857142857143,14.618680377035135
Abishek Porel,0.9170792746028799,0.45154185022026433,1.9775405356945708,188.46153846153845,129.2929292929293,156.0344827586207,137.17948717948718,11.674008810572687
Akash Deep,0.5000672250690559,0.75,1.863120568566631,177.77777777777777,170.0,200.0,228.57142857142856,20.0
Akash Madhwal,0.0,0.0,1.2958363892911637,80.0,44.44444444444444,71.42857142857143,42.857142857142854,0.0
Aman Hakim Khan,0.6799737202474211,0.1559633027522936,1.7810187317364181,125.0,90.38461538461539,123.52941176470588,83.92857142857143,8.440366972477065
